year,month,pickup_zone,dropoff_zone,trip_count,avg_trip_distance_miles,avg_total_amount,avg_passengers,total_revenue,avg_trip_duration_min
2024,1,Midtown East,Yorkville East,1760,2.23,23.32,1.25,41047.81,15.23
2024,1,Midtown North,Garment District,1760,1.19,17.58,1.43,30939.2,10.24
2024,1,TriBeCa/Civic Center,West Village,1759,1.33,16.87,1.31,29668.43,7.6
2024,1,Upper West Side South,Central Park,1745,1.29,16.6,1.42,28970.89,7.92
2024,1,LaGuardia Airport,Upper West Side South,1737,10.08,72.45,1.32,125843.01,30.62
2024,1,East Chelsea,Penn Station/Madison Sq West,1734,0.9,15.39,1.41,26676.78,8.14
2024,1,Midtown South,West Chelsea/Hudson Yards,1734,1.34,18.74,1.32,32499.03,12.23
2024,1,Gramercy,Sutton Place/Turtle Bay North,1728,1.87,19.67,1.27,33995.32,10.44
2024,1,Kips Bay,Midtown East,1726,1.07,15.86,1.28,27379.4,8.27
2024,1,West Chelsea/Hudson Yards,Midtown Center,1725,1.77,23.01,1.43,39694.58,16.45
2024,1,West Village,Greenwich Village North,1721,0.77,14.59,1.31,25112.04,6.51
2024,1,LaGuardia Airport,Lenox Hill West,1720,9.06,64.65,1.29,111202.6,23
2024,1,Lenox Hill West,Murray Hill,1719,1.9,20.76,1.27,35686.15,13.48
2024,1,West Chelsea/Hudson Yards,Penn Station/Madison Sq West,1718,0.92,15.85,1.41,27227.55,8.19
2024,1,Lenox Hill West,Upper West Side South,1716,1.99,21.5,1.34,36891.81,12.95
2024,1,Penn Station/Madison Sq West,Lenox Hill West,1716,2.85,28.28,1.28,48525.37,20.3
2024,1,Upper West Side North,East Harlem South,1708,1.47,16.18,1.29,27632.74,9.87
2024,1,Union Sq,Flatiron,1704,0.76,14.54,1.3,24783.22,5.72
2024,1,Greenwich Village North,Gramercy,1703,0.93,15.34,1.34,26116.08,8.26
2024,1,Murray Hill,Clinton East,1699,1.35,20.42,1.32,34700.14,13.39
2024,1,Lenox Hill East,Lincoln Square East,1692,1.93,22.49,1.31,38047.97,16.29
2024,1,East Chelsea,Lincoln Square East,1690,2.08,23,1.38,38873.78,15.11
2024,1,Greenwich Village South,Union Sq,1689,1.22,16.93,1.37,28596.46,11.49
2024,1,UN/Turtle Bay South,Sutton Place/Turtle Bay North,1688,0.81,14.04,1.26,23695.08,6.19
2024,1,Midtown East,East Village,1683,2.39,23.31,1.3,39225.12,15.67
2024,1,JFK Airport,East Village,1675,18.22,93.52,1.4,156652.16,41.98
2024,1,Upper West Side South,Lenox Hill East,1674,2.25,24.05,1.29,40254.02,16.13
2024,1,Sutton Place/Turtle Bay North,Yorkville East,1672,1.73,19.35,1.29,32351.06,10.54
2024,1,Midtown North,Union Sq,1668,1.98,22.57,1.38,37648.15,15.54
2024,1,Union Sq,Greenwich Village South,1667,1.15,16.38,1.34,27298.68,9.11
2024,1,Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North,1665,0.57,16.66,1.38,27734.33,6.52
2024,1,Midtown South,Midtown South,1665,0.57,23.21,1.41,38647.31,5.73
2024,1,Union Sq,TriBeCa/Civic Center,1663,2.25,23.04,1.3,38317.41,14.84
2024,1,Murray Hill,Greenwich Village North,1662,1.61,19.29,1.25,32067.4,12.37
2024,1,East Chelsea,Gramercy,1660,1.55,20.18,1.31,33489.71,13.21
2024,1,Lenox Hill East,Upper West Side South,1659,2.31,24.46,1.27,40575.62,16.96
2024,1,Penn Station/Madison Sq West,Sutton Place/Turtle Bay North,1652,2.13,24.54,1.32,40542.96,18.18
2024,1,Midtown Center,JFK Airport,1649,17.26,92.99,1.65,153332.29,51.5
2024,1,Midtown North,Lenox Hill East,1648,1.59,20.46,1.25,33722.96,13.98
2024,1,Greenwich Village North,Murray Hill,1647,1.64,19.82,1.29,32650.2,13.5
2024,1,East Chelsea,Meatpacking/West Village West,1646,1.18,16.26,1.35,26761.76,9.18
2024,1,Upper East Side North,Manhattan Valley,1640,1.8,19.51,1.32,32003.15,11.35
2024,1,Sutton Place/Turtle Bay North,Kips Bay,1640,1.35,16.47,1.23,27017.98,7.9
2024,1,Flatiron,Murray Hill,1639,1.44,18.92,1.3,31012.66,12.02
2024,1,Midtown Center,East Village,1634,2.67,26.13,1.35,42702.87,17.44
2024,1,Midtown Center,Flatiron,1629,1.78,21.23,1.28,34589.84,14.02
2024,1,LaGuardia Airport,East Chelsea,1627,10.15,74.04,1.37,120461.98,33.29
2024,1,Midtown South,Clinton East,1626,1.35,19.72,1.4,32071.68,14.26
2024,1,Penn Station/Madison Sq West,Garment District,1618,0.65,15.27,1.35,24709.38,9.01
2024,1,Yorkville West,Upper West Side North,1617,1.74,19.28,1.31,31173.09,11.51
2024,1,Flatiron,Gramercy,1614,0.98,15.97,1.27,25778.19,9
2024,1,Union Sq,Midtown East,1606,1.59,19.65,1.35,31555.54,12.38
2024,1,JFK Airport,Lincoln Square East,1604,19.77,94.33,1.51,151304.37,51.65
2024,1,Garment District,Clinton East,1601,0.9,16.98,1.41,27181.11,10.91
2024,1,Clinton East,Upper East Side South,1598,1.84,20.5,1.4,32760.77,14.21
2024,1,Upper West Side North,Midtown North,1596,2.17,22.28,1.26,35557.06,13.81
2024,1,Greenwich Village South,Gramercy,1589,1.29,17.13,1.44,27217.81,10.7
2024,1,Penn Station/Madison Sq West,Upper West Side South,1588,2.98,28.43,1.32,45149.55,19.45
2024,1,Midtown East,LaGuardia Airport,1586,10.17,68.16,1.33,108106.09,28.28
